"date","prec","prec_var","flow_obs","flow_sim","pet","tmin","tmean","tmax","srad","vprp"
2000-01-01,5.758,1.29,,1.104,2.402,3.856,8.924,13.993,19.608,7.317
2000-01-02,3.417,1.512,,1.174,2.482,4.149,8.883,13.617,17.539,6.768
2000-01-03,5.581,2.679,,1.189,2.647,2.964,8.564,14.164,19.482,6.235
2000-01-04,5.377,3.625,,1.21,2.927,3.351,8.839,14.327,13.932,7.138
2000-01-05,3.782,1.403,,1.213,2.297,3.484,7.71,11.936,11.778,6.425
2000-01-06,7.771,2.605,,1.244,2.222,2.464,6.655,10.845,14.172,5.711
2000-01-07,6.965,1.702,,1.304,2.153,2.186,6.762,11.338,13.307,6.069
2000-01-08,4.519,1.537,,1.373,2.947,2.391,7.513,12.635,15.09,6.425
2000-01-09,3.551,0.846,,1.437,2.873,2.435,8.183,13.931,17.847,6.504
2000-01-10,7.071,3.02,,1.451,2.662,3.62,8.439,13.257,14.206,7.039
2000-01-11,5.834,4.165,,1.469,2.792,3.254,7.972,12.69,15.193,7.117
2000-01-12,6.665,5.569,,1.53,2.584,3.099,8.198,13.297,15.303,7.196
2000-01-13,4.069,1.332,,1.648,2.139,4.966,8.32,11.674,13.892,7.35
2000-01-14,2.572,2.069,,1.608,2.992,3.156,8.638,14.119,23.994,6.263
2000-01-15,1.785,0.728,,1.469,3.489,2.509,8.361,14.213,25.678,5.342
2000-01-16,3.004,2.565,,1.362,2.942,1.592,6.805,12.018,17.78,5.682
2000-01-17,5.329,1.972,,1.346,2.267,2.467,6.868,11.27,13.139,6.948
2000-01-18,5.124,2.838,,1.355,2.459,3.996,8.082,12.168,18.16,6.962
2000-01-19,7.671,5.297,,1.466,2.55,4.658,8.566,12.475,18.361,7.198
2000-01-20,5.154,4.204,,1.609,3.015,5.268,9.185,13.102,17.126,6.717
2000-01-21,3.632,0.946,,1.698,3.381,4.231,9.41,14.589,18.653,6.701
2000-01-22,3.011,0.589,,1.698,2.933,4.129,9.403,14.676,21.302,6.934
2000-01-23,5.723,1.934,,1.696,2.276,5.075,8.632,12.189,16.753,7.82
2000-01-24,5.363,2.173,,1.712,2.607,4.787,9.54,14.292,15.74,7.595
2000-01-25,2.544,0.486,,1.725,2.35,5.04,8.604,12.169,16.1,7.591
2000-01-26,7.685,2.467,,1.737,2.172,4.845,7.942,11.04,16.146,7.113
2000-01-27,11.394,9.737,,1.83,2.198,4.824,7.78,10.736,11.225,7.333
2000-01-28,7.406,3.419,,2.068,2.505,4.787,8.263,11.74,15.045,7.395
2000-01-29,7.062,3.172,,2.18,2.673,4.988,8.198,11.407,14.428,7.41
2000-01-30,9.73,5.193,,2.258,2.621,4.133,7.658,11.183,12.697,6.981
2000-01-31,10.764,10.474,,2.348,2.378,4.081,7.834,11.587,11.898,7.071
2000-02-01,5.992,1.328,,2.257,2.553,4.244,8.032,11.82,16.227,7.025
2000-02-02,5.04,0.917,,2.278,3.172,4.501,9.131,13.761,18.902,7.033
2000-02-03,8.704,2.02,,2.275,2.95,4.566,9.009,13.453,18.326,7.339
2000-02-04,3.804,0.519,,2.274,2.808,4.456,8.807,13.159,16.756,7.345
2000-02-05,1.743,0.154,,2.235,3.054,4.434,9.212,13.99,16.169,7.435
2000-02-06,3.621,0.227,,2.149,3.165,4.737,8.648,12.56,15.587,7.158
2000-02-07,4.877,1.509,,2.106,3.117,5.001,9.554,14.106,17.896,7.377
2000-02-08,4.044,2.637,,2.092,3.245,5.219,9.887,14.555,18.225,7.593
2000-02-09,3.252,0.55,,2.074,3.176,5.254,9.102,12.949,15.586,7.432
2000-02-10,0.551,0.063,,2.01,2.905,4.39,8.291,12.193,16.504,6.595
2000-02-11,0.178,0.006,,1.877,3.581,2.987,8.298,13.609,20.859,6.565
